AMP ID,Objective,Organizations and Project ID,Project Description,Project Title,Status,Actual Completion Date,Actual Start Date,Original Completion Date,Proposed Start Date,Country,District,Implementation Level,Region,Zone,Donor Agency,Donor Group,Donor Type,Financing Instrument,Funding Organization Id,Funding Status,Type Of Assistance,Primary Sector,Primary Sector Sub-Sector,Primary Sector Sub-Sub-Sector,Secondary Sector,Secondary Sector Sub-Sector,Secondary Sector Sub-Sub-Sector,Responsible Organization,National Planning Objectives,National Planning Objectives Level 1,National Planning Objectives Level 2,National Planning Objectives Level 3,Proposed Project Amount,2005 Actual Commitments,2005 Actual Disbursements,2005 Planned Commitments,2005 Planned Disbursements,2006 Actual Commitments,2006 Actual Disbursements,2006 Planned Commitments,2006 Planned Disbursements,2007 Actual Commitments,2007 Actual Disbursements,2007 Planned Commitments,2007 Planned Disbursements,2008 Actual Commitments,2008 Actual Disbursements,2008 Planned Commitments,2008 Planned Disbursements,2009 Actual Commitments,2009 Actual Disbursements,2009 Planned Commitments,2009 Planned Disbursements,2010 Actual Commitments,2010 Actual Disbursements,2010 Planned Commitments,2010 Planned Disbursements,2011 Actual Commitments,2011 Actual Disbursements,2011 Planned Commitments,2011 Planned Disbursements,2012 Actual Commitments,2012 Actual Disbursements,2012 Planned Commitments,2012 Planned Disbursements,2013 Actual Commitments,2013 Actual Disbursements,2013 Planned Commitments,2013 Planned Disbursements,2014 Actual Commitments,2014 Actual Disbursements,2014 Planned Commitments,2014 Planned Disbursements,2015 Actual Commitments,2015 Actual Disbursements,2015 Planned Commitments,2015 Planned Disbursements,Actual Commitments,Actual Disbursements,Planned Commitments,Planned Disbursements
  8728337, ,CTD1161 (Agence Française de Développement), ,Appui à la création et au développement d'une Maison de la Petite Entreprise,Planned,,,31/12/2019,05/01/2015,Chad, ,National, , ,Agence Française de Développement,France,Bilatéral,"Aides, Dons & Subventions", ,Financement en Négociation,Don,SECTEUR TERTIAIRE,ACTIVITES IMMOBILIERES ET SERVICES AUX ENTREPRISES,Activité de services fournis aux entreprises,300 - SECTEURS DE LA PRODUCTION,321 - INDUSTRIES MANUFACTURIERES,32130 - Développement des Petites et moyennes entreprises (PME),"Economie, Commerce & Développement Touristique",Axe 1: Développement de l’offre de production et des opportunités d’emplois décent,Axe 1: Développement de l’offre de production et des opportunités d’emplois décent,1.3 Développement du secteur privé,1.3.1 Promotion des PME, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1887861.053,471965.263,0,0,1887861.053,471965.263
  87283310, ,CTD 1116 03 (Agence Française de Développement), ,Projet d'appui au renforcement des capacités du Ministère de l'Enseignement Fondamental et de l'Alphabétisation,Ongoing,,13/09/2013,31/12/2015,13/09/2013,Chad, ,National, , ,Agence Française de Développement,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,EDUCATION,Education,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,110 - Education, ,Education Nationale,"Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales","Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales",2.1 Éducation,"2.1.1 Enseignement primaire, moyen, secondaire général, technique et professionnel", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524800,0,0,0,0,11189.39,0,0,0,0,0,377572.21,524800,11189.39,0,377572.21
  87283312, ,CTD 1178 (Agence Française de Développement), ,Projet développement urbain,Planned,,,30/06/2020,01/02/2016,Chad, ,National, , ,Agence Française de Développement,France,Bilatéral,"Aides, Dons & Subventions", ,Financement en Négociation,Don,SECTEUR QUATERNAIRE,AUTRES ACTIVITES DE SERVICES AUX MENAGES,Activités de services personnels et collectifs,400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE,430 - Autres multi secteurs,43030 - Développement et gestion urbaine,"Aménagement Territoire, de l'Urbanisme et de l'Habitat",Axe 3: Protection de l'environnement et adaptation aux changements climatiques,Axe 3: Protection de l'environnement et adaptation aux changements climatiques,"3.2 Aménagement du territoire en milieu rural, urbain et périurbain","3.2.1 Aménagement du territoire en milieu rural, urbain et périurbain", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  87283315, , , ,FSP 2R2P,Ongoing,,09/01/2013,01/01/2016,09/01/2013,Chad, ,National, , ,Ministère des Affaires Étrangères et du Développement International,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,ACTIVITES D'ADMINISTRATION PUBLIQUE,Activités d'administration publique,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"151 - Gouvernement et société civile, général",15110 - Politiques publiques et gestion administrative,Plan et Coopération Internationale,Axe 4: Amélioration de la gouvernance,Axe 4: Amélioration de la gouvernance,4.1 Modernisation de l'État et réforme de la fonction publique,4.1.1 Modernisation de l’État et reforme de la fonction publique, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259437.582,0,0,0,0,263710.486,0,0,0,0,0,247671.162,1259437.582,263710.486,0,247671.162
  87283333, ,CTD 3013 (Agence Française de Développement), ,"Fonds d'expertise et de Renforcement des capacités (n°3,FERC 3)",Ongoing,,15/06/2009,30/06/2015,15/06/2009,Chad, ,National, , ,Ministère des Affaires Étrangères et du Développement International,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,SANTE ET ACTION SOCIALE, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,160 - INFRASTRUCTURE ET SERVICES SOCIAUX DIVERS,16062 - Renforcement des capacités statistiques,Finances et Budget,Axe 1: Développement de l’offre de production et des opportunités d’emplois décent,Axe 1: Développement de l’offre de production et des opportunités d’emplois décent,1.5 Recherche et développement (R&D),1.5.1 Recherche et développement (R&D), ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63434.716,0,0,0,0,0,235982.631,918400,63434.716,0,235982.631
  87283335, ,, ,FSP GELT,Ongoing,,15/01/2013,01/01/2016,15/01/2013,Chad, ,National, , ,Ministère des Affaires Étrangères et du Développement International,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,EDUCATION,Education,400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE,430 - Autres multi secteurs,43081 - Éducation et formation plurisectorielles,Plan et Coopération Internationale,"Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales","Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales",2.1 Éducation,2.1.2 Enseignement Supérieur et de la Recherche Scientifique, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623159.22,196687.416,0,0,0,0,0,247671.162,623159.22,196687.416,0,247671.162
  87283342, ,, ,Projet de Soutien à la diversité culturelle,Ongoing,,01/01/2014,,01/01/2014,Chad, ,National, , ,Ministère des Affaires Étrangères et du Développement International,France,Bilatéral," - Aides, Dons & Subventions
 - Assistance Technique", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,AUTRES ACTIVITES DE SERVICES AUX MENAGES,Activités de services personnels et collectifs,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,160 - INFRASTRUCTURE ET SERVICES SOCIAUX DIVERS,16061 - Culture et loisirs,"Culture, Jeunesse et Sports","Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales","Axe 2: Mobilisation et valorisation du capital humain et la lutte contre les inégalités, la pauvreté et l’exclusion sociales",2.9 Culture,2.9.1 Culture,969898.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969898.13,983756.735,0,0,0,0,0,915612.61,969898.13,983756.735,0,915612.61
  87283369, ,CTD 1157 (Agence Française de Développement), ,Appui à la formation professionnelle pour l'amélioration de la compétitivité des entreprises tchadiennes,Ongoing,,01/01/2015,30/06/2019,01/01/2015,Chad, ,National, , ,Agence Française de Développement,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR QUATERNAIRE,AUTRES ACTIVITES DE SERVICES AUX MENAGES,Activités de services personnels et collectifs,200 - INFRASTRUCTURE ET SERVICES ÉCONOMIQUES,250 - ENTREPRISES ET AUTRES SERVICES, ,Plan et Coopération Internationale,Axe 4: Amélioration de la gouvernance,Axe 4: Amélioration de la gouvernance,"4.3 Promotion des droits humains, de la paix et de la cohésion sociale","4.3.1 Promotion des droits humains, de la paix et de la cohésion sociale", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416042.602,0,0,6192184.255,0,0,1510288.842,6192184.255,416042.602,0,1510288.842
  87283371, ,CTD 1131 (Agence Française de Développement), ,Aménagement hydroagricole du Bahr Linia,Ongoing,,15/01/2012,31/12/2016,15/01/2012,Chad, ,National, , ,Agence Française de Développement,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR PRIMAIRE,"AGRICULTURE, SYLVICULTURE ET PECHE", ,200 - INFRASTRUCTURE ET SERVICES ÉCONOMIQUES,230 - PRODUCTION ET DISTRIBUTION D’ENERGIE,23065 - Centrales et barrages hydroélectriques,"Aménagement Territoire, de l'Urbanisme et de l'Habitat",Axe 3: Protection de l'environnement et adaptation aux changements climatiques,Axe 3: Protection de l'environnement et adaptation aux changements climatiques,"3.2 Aménagement du territoire en milieu rural, urbain et périurbain","3.2.1 Aménagement du territoire en milieu rural, urbain et périurbain",6560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6560000,0,0,0,0,0,0,0,0,13336.032,0,0,0,0,0,3247121.011,6560000,13336.032,0,3247121.011
  87283374, ,CTD 1160 (Agence Française de Développement), ,Programme de renforcement des Capacités Commerciales - filière Gomme arabique,Ongoing,,13/09/2013,31/01/2017,13/09/2013,Chad, ,National, , ,Agence Française de Développement,France,Bilatéral,"Aides, Dons & Subventions", ,Financement Acquis,Don,SECTEUR TERTIAIRE,COMMERCE ET REPARATIONS,Commerce,300 - SECTEURS DE LA PRODUCTION,331 - POLITIQUE COMMERCIALE ET REGLEMENTATIONS ET AJUSTEMENT LIE AU COMMERCE, ,"Economie, Commerce & Développement Touristique",Axe 1: Développement de l’offre de production et des opportunités d’emplois décent,Axe 1: Développement de l’offre de production et des opportunités d’emplois décent,1.1 Développement du secteur rural et sécurité alimentaire,1.1.2 Productions végétales,1836800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1836800,0,0,0,0,61403.769,0,0,0,0,0,1015669.246,1836800,61403.769,0,1015669.246
