sector-code,sector,sector-percentage,sector-vocabulary,iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code,currency,total-Commitment,total-Disbursement,total-Expenditure,total-Incoming Funds,total-Interest Repayment,total-Loan Repayment,total-Reimbursement
43040,Rural Development,,OECD Development Assistance Committee,EU-2-2014-340161,,01/06/15 12:00 AM,en,European Commission - Development and Cooperation-EuropeAid,EU,Other Public Sector,"Mission évaluation à mi- parcours, composante 1, PADL II",Evaluation à mi termeselon les dispositions prévues par les DTA de la CF,3,2014-04-28,2014-10-25,2014-04-28,2014-10-25,OTHER,50000,,European Union Institutions,EU,Other Public Sector,European Development Fund,EU-2,Other Public Sector,EDF,42003,,TD,Chad,,,,,1,110,10,C01,5,,38672,0,38672,0,0,0,0
72040,Emergency Food Aid,,OECD Development Assistance Committee,ES-21-2011-2011006618,1,,en,"Ministry of Foreign Affairs and Cooperation, Spain",ES-5,Government,PROGRAM FOR CHILD PROTECTION IN CHAD.,"Respuesta a la crisis nutricional en Chad - Respuesta a la crisis nutricional en Chad - Mejorar el acceso al tratamiento de la desnutrición aguda severa y prevenir la desnutrición infantil, en particular de los niños más desfavorecidos en las diez regiones de la franja del Sahel de Chad.",,2011-12-30,2012-12-29,,,,,,Spain,ES,Government,Spanish Agency for International Development Co-operation,ES-21,,United Nations Children’s Fund ,41122,,TD,Chad,,,,,1,110,10,B03,5,EUR,500000,500000,0,0,0,0,0
14020,Water Supply And Sanitation - Large Systems,,OECD Development Assistance Committee,50/2010-BIL-AGE-835,,10/20/11 12:00 AM,es,Spain,50,Government,"Gestión de crisis humanitarias a través de intervenciones en el campo del agua, el saneamiento ambiental y la seguridad alimentaria, dirigida a poblaciones desplazadas, refugiadas y retornadas y/o afectada por desastres naturales. Sudán, Chad, Etiopía, Mozambique. 4 años","Los objetivos principales del convenio son: Mejorar el acceso al agua potable salubre. Reducir la transmisión de enfermedades propagadas por vía feca-oral y por la exposición a vectores que las transmiten. Mejorar el acceso a los alimentos y estado nutricional de los refugiados, desplazados, retornado y otras poblaciones autóctonas. Conseguir que las políticas y acciones de organismos locales, nacionales y multilaterales garanticen los derechos de protección y asistencia.",2,,2011-01-01,2007-01-01,,,,,Spain,50,Government,MAEC - Ministerio de Asuntos Exteriores y de Cooperación,5,Government,Intermon,ESP-2163,National NGO,TD,Chad,,289,"South of Sahara, regional",,1,110,10,C01,,EUR,0,658938,0,0,0,0,0
,,100,OECD Development Assistance Committee,US-13-TD-EG-2905,3,10/16/14 12:00 AM,,United States,US,Government,Banana Project,2905,,,,2013-08-12,2014-08-11,,,,United States of America,US,Government,African Development Foundation,US-13,Government,Groupement Djamadji,,,TD,Chad,100,289,"South of Sahara, regional",100,,,,,,USD,10792,11324.18,0,0,0,0,0
,,100,OECD Development Assistance Committee,US-13-TD-EG-2905,3,10/16/14 12:00 AM,,United States,US,Government,Banana Project,2905,,,,2013-08-12,2014-08-11,,,,United States of America,US,Government,African Development Foundation,US-13,Government,Groupement Djamadji,,,TD,Chad,100,289,"South of Sahara, regional",100,,,,,,USD,10792,11324.18,0,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:CHD-12/E/46020/R/124,1,11/21/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,"Education for IDPs, Returnees, Refugees and Host community children in Eastern Chad and Southern Chad","Ensure access to quality education for all IDPs, returnees’ refugees’ and host communities children of preschool and primary school age and increase girl’s enrolment rate (Location: IDPs & returnees villages in Assoungha, Ouara, Dar Sila, Djourouf al Ahmar and villages of return in Louboutigué, Arangou, Borota, Tiero, Marena, Gododigue; 10 refugees camps in Ouré Cassoni, Treguine, Bredjine, Gaga, Farchana, Djabal, Goz Amir, Amnabak, Moula, Yaroungou) in Eastern and Southern Chad",,2012-01-01,2012-12-31,,,,,,Australia,,Government,,,,United Nations Children's Fund,,Multilateral,TD,Chad,,,,,,,,,,,0,643429,0,0,0,0,0
73010,Reconstruction Relief And Rehabilitation,,OECD Development Assistance Committee,41127-FTS:CHD-12/E/46020/R/124,1,11/21/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,"Education for IDPs, Returnees, Refugees and Host community children in Eastern Chad and Southern Chad","Ensure access to quality education for all IDPs, returnees’ refugees’ and host communities children of preschool and primary school age and increase girl’s enrolment rate (Location: IDPs & returnees villages in Assoungha, Ouara, Dar Sila, Djourouf al Ahmar and villages of return in Louboutigué, Arangou, Borota, Tiero, Marena, Gododigue; 10 refugees camps in Ouré Cassoni, Treguine, Bredjine, Gaga, Farchana, Djabal, Goz Amir, Amnabak, Moula, Yaroungou) in Eastern and Southern Chad",,2012-01-01,2012-12-31,,,,,,Australia,,Government,,,,United Nations Children's Fund,,Multilateral,TD,Chad,,,,,,,,,,,0,643429,0,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:179724,1,04/02/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Secondment of a telecom officer for WFP,Secondment of a telecom officer for WFP,,2012-01-08,,,,,,,Sweden,,,,,,Swedish Civil Contingencies Agency (MSB),,,TD,Chad,,,,,,,,,,,94139,0,0,0,0,0,0
72050,Relief Co-Ordination; Protection And Support Services,,OECD Development Assistance Committee,41127-FTS:179724,1,04/02/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Secondment of a telecom officer for WFP,Secondment of a telecom officer for WFP,,2012-01-08,,,,,,,Sweden,,,,,,Swedish Civil Contingencies Agency (MSB),,,TD,Chad,,,,,,,,,,,94139,0,0,0,0,0,0
,,100,OECD Development Assistance Committee,41122-Chad-0810/A0/04/805/002,1,12/02/14 12:00 AM,en,UNICEF,41122,Multilateral,PRÉVENTION ET RÉPONSES AUX URGENCES,;PRÉVENTION ET RÉPONSES AUX URGENCES,2,2014-12-18,2014-12-18,2014-12-18,2014-12-18,,,,UNMAS - New York,,Multilateral,,,,,,,TD,Chad,100,998,"Bilateral, unspecified",100,4,110,10,B03,5,USD,4463167,509633,1966586,0,0,0,0
